,date,open,close,high,low,volume,code
390,2018-08-09,12.193,12.44,12.633,12.093,39985.0,600419
391,2018-08-10,12.386,12.563,12.586,12.363,22607.0,600419
392,2018-08-13,12.44,12.579,12.617,12.309,23334.0,600419
393,2018-08-14,12.602,12.949,13.149,12.602,45164.0,600419
394,2018-08-15,12.949,12.386,12.949,12.332,29745.0,600419
395,2018-08-16,12.17,12.378,12.764,11.908,28975.0,600419
396,2018-08-17,12.378,11.862,12.586,11.808,29951.0,600419
397,2018-08-20,11.862,11.222,12.0,10.944,64968.0,600419
398,2018-08-21,11.222,11.808,11.823,11.198,52926.0,600419
399,2018-08-22,11.638,11.63,12.085,11.63,33594.0,600419
400,2018-08-23,11.738,11.684,11.862,11.553,22433.0,600419
401,2018-08-24,11.492,12.247,12.463,11.492,47662.0,600419
402,2018-08-27,12.239,12.247,12.363,11.97,42214.0,600419
403,2018-08-28,12.209,12.232,12.293,12.101,22680.0,600419
404,2018-08-29,12.17,12.517,12.748,12.031,41847.0,600419
405,2018-08-30,12.525,12.162,12.532,12.139,30812.0,600419
406,2018-08-31,12.147,12.162,12.293,11.754,25001.0,600419
407,2018-09-03,12.085,12.178,12.324,11.908,15303.0,600419
408,2018-09-04,12.201,12.255,12.293,11.939,22163.0,600419
409,2018-09-05,12.178,12.039,12.286,12.039,12489.0,600419
410,2018-09-06,12.016,11.869,12.209,11.792,12970.0,600419
411,2018-09-07,11.923,12.209,12.216,11.869,18226.0,600419
412,2018-09-10,12.317,11.761,12.355,11.707,19583.0,600419
413,2018-09-11,11.63,12.054,12.224,11.623,18087.0,600419
414,2018-09-12,12.155,12.124,12.27,12.0,14624.0,600419
415,2018-09-13,12.193,12.124,12.255,11.892,11830.0,600419
416,2018-09-14,12.139,12.425,12.432,12.016,27550.0,600419
417,2018-09-17,12.247,12.278,12.471,12.209,18282.0,600419
418,2018-09-18,12.263,12.617,12.733,12.216,34870.0,600419
419,2018-09-19,12.486,12.802,12.825,12.478,27580.0,600419
420,2018-09-20,12.795,12.687,12.795,12.563,18645.0,600419
421,2018-09-21,12.694,13.188,13.211,12.694,34567.0,600419
422,2018-09-25,13.111,13.134,13.296,12.941,21295.0,600419
423,2018-09-26,13.134,13.057,13.288,12.98,34375.0,600419
424,2018-09-27,13.057,13.103,13.142,12.864,24983.0,600419
425,2018-09-28,13.103,12.926,13.111,12.849,21023.0,600419
426,2018-10-08,12.633,12.448,12.856,12.363,19689.0,600419
427,2018-10-09,12.563,12.602,12.702,12.455,15376.0,600419
428,2018-10-10,12.594,12.71,12.772,12.494,11963.0,600419
429,2018-10-11,12.478,11.993,12.679,11.854,29235.0,600419
430,2018-10-12,11.761,12.101,12.209,11.692,21828.0,600419
431,2018-10-15,12.324,12.17,12.432,12.054,18689.0,600419
432,2018-10-16,12.155,11.754,12.309,11.7,18115.0,600419
433,2018-10-17,11.939,11.692,12.016,11.399,19053.0,600419
434,2018-10-18,11.653,11.553,11.707,11.36,12490.0,600419
435,2018-10-19,11.476,11.63,11.707,11.098,16352.0,600419
436,2018-10-22,11.792,12.301,12.502,11.785,25769.0,600419
437,2018-10-23,12.309,12.031,12.471,11.892,18554.0,600419
438,2018-10-24,12.016,11.954,12.155,11.823,13740.0,600419
439,2018-10-25,11.754,11.877,11.97,11.453,21145.0,600419
440,2018-10-26,11.939,11.653,12.016,11.615,17231.0,600419
441,2018-10-29,11.638,11.322,11.646,11.191,19236.0,600419
442,2018-10-30,11.291,11.191,11.376,10.859,24908.0,600419
443,2018-10-31,11.252,11.399,11.584,11.183,22639.0,600419
444,2018-11-01,11.43,11.684,11.9,11.43,25366.0,600419
445,2018-11-02,11.823,12.748,12.748,11.823,46660.0,600419
446,2018-11-05,13.026,13.08,13.358,12.718,51849.0,600419
447,2018-11-06,12.903,13.049,13.25,12.833,29995.0,600419
448,2018-11-07,13.065,13.25,13.311,12.91,33167.0,600419
449,2018-11-08,13.311,13.319,13.666,12.772,74184.0,600419
450,2018-11-09,13.08,12.972,13.203,12.941,37748.0,600419
451,2018-11-12,13.003,13.111,13.142,12.856,28071.0,600419
452,2018-11-13,12.903,13.342,13.504,12.903,34126.0,600419
453,2018-11-14,13.257,13.234,13.404,13.172,19462.0,600419
454,2018-11-15,13.142,13.373,13.458,13.142,25316.0,600419
455,2018-11-16,13.427,13.35,13.635,13.25,35186.0,600419
456,2018-11-19,13.25,13.072,13.365,12.949,26248.0,600419
457,2018-11-20,13.003,12.702,13.003,12.656,23005.0,600419
458,2018-11-21,12.702,12.71,12.779,12.502,18599.0,600419
459,2018-11-22,12.748,12.656,12.825,12.563,16042.0,600419
460,2018-11-23,12.633,12.078,12.656,12.024,26007.0,600419
461,2018-11-26,12.031,11.931,12.247,11.9,14755.0,600419
462,2018-11-27,11.993,12.016,12.155,11.885,14022.0,600419
463,2018-11-28,11.862,12.093,12.116,11.823,18772.0,600419
464,2018-11-29,12.124,12.286,12.772,12.124,33832.0,600419
465,2018-11-30,12.239,12.263,12.324,11.923,19172.0,600419
466,2018-12-03,12.532,12.563,12.71,12.324,26108.0,600419
467,2018-12-04,12.563,12.517,12.633,12.378,12574.0,600419
468,2018-12-05,12.386,12.286,12.432,12.201,15979.0,600419
469,2018-12-06,12.27,11.977,12.27,11.977,16431.0,600419
470,2018-12-07,12.039,12.016,12.232,11.977,14205.0,600419
471,2018-12-10,11.823,11.8,12.016,11.599,24690.0,600419
472,2018-12-11,11.808,11.862,11.977,11.769,15415.0,600419
473,2018-12-12,11.97,11.916,12.07,11.831,11056.0,600419
474,2018-12-13,11.885,12.062,12.239,11.785,19175.0,600419
475,2018-12-14,12.0,11.877,12.193,11.846,16573.0,600419
476,2018-12-17,11.746,11.769,11.939,11.707,15660.0,600419
477,2018-12-18,11.792,11.7,11.908,11.607,15454.0,600419
478,2018-12-19,11.723,11.584,11.792,11.461,13232.0,600419
479,2018-12-20,11.515,11.538,11.646,11.422,14916.0,600419
480,2018-12-21,11.43,11.461,11.522,11.407,13355.0,600419
481,2018-12-24,11.453,11.599,11.646,11.245,15206.0,600419
482,2018-12-25,11.453,11.823,11.9,11.237,25039.0,600419
483,2018-12-26,11.723,11.815,11.939,11.653,18138.0,600419
484,2018-12-27,12.008,11.507,12.016,11.507,17265.0,600419
485,2018-12-28,11.553,11.677,11.761,11.337,15258.0,600419
486,2019-01-02,11.692,11.476,11.854,11.453,12278.0,600419
487,2019-01-03,11.515,11.384,11.545,11.353,9664.0,600419
488,2019-01-04,11.276,11.553,11.592,11.175,14551.0,600419
489,2019-01-07,11.615,11.669,11.761,11.545,16806.0,600419
490,2019-01-08,11.599,11.738,11.815,11.576,14426.0,600419
491,2019-01-09,11.731,11.808,12.116,11.731,22961.0,600419
492,2019-01-10,11.769,11.623,11.9,11.592,13492.0,600419
493,2019-01-11,11.653,11.715,11.746,11.476,15579.0,600419
494,2019-01-14,11.707,12.016,12.17,11.646,26721.0,600419
495,2019-01-15,12.093,12.147,12.17,11.908,18673.0,600419
496,2019-01-16,12.093,12.386,12.61,12.054,31089.0,600419
497,2019-01-17,12.386,12.239,12.448,12.209,15242.0,600419
498,2019-01-18,12.247,12.309,12.417,12.162,13282.0,600419
499,2019-01-21,12.363,12.332,12.478,12.263,21476.0,600419
500,2019-01-22,12.317,12.317,12.394,12.17,14335.0,600419
501,2019-01-23,12.286,12.471,12.471,12.247,12788.0,600419
502,2019-01-24,12.44,12.401,12.517,12.309,12512.0,600419
503,2019-01-25,12.394,12.448,12.687,12.386,24619.0,600419
504,2019-01-28,12.502,12.363,12.748,12.255,20326.0,600419
505,2019-01-29,12.363,12.162,12.548,12.093,19553.0,600419
506,2019-01-30,12.247,12.047,12.394,12.016,14994.0,600419
507,2019-01-31,12.016,11.785,12.132,11.723,23602.0,600419
508,2019-02-01,11.838,12.155,12.185,11.761,16566.0,600419
509,2019-02-11,12.209,12.463,12.502,12.178,18771.0,600419
510,2019-02-12,12.502,12.61,12.656,12.401,21680.0,600419
511,2019-02-13,12.563,12.71,12.903,12.455,34883.0,600419
512,2019-02-14,12.849,12.802,13.011,12.671,27247.0,600419
513,2019-02-15,12.802,13.018,13.234,12.71,35122.0,600419
514,2019-02-18,13.119,13.172,13.219,12.91,37536.0,600419
515,2019-02-19,13.172,12.833,13.25,12.633,41371.0,600419
516,2019-02-20,13.635,12.941,14.005,12.818,98914.0,600419
517,2019-02-21,12.756,12.71,12.941,12.571,76707.0,600419
518,2019-02-22,12.633,12.725,12.741,12.409,70832.0,600419
519,2019-02-25,12.787,13.257,13.257,12.61,117184.0,600419
520,2019-02-26,13.234,13.165,13.396,12.941,85721.0,600419
521,2019-02-27,13.165,13.334,13.62,13.103,80826.0,600419
522,2019-02-28,13.527,13.489,13.635,13.319,51311.0,600419
523,2019-03-01,13.342,13.265,13.45,13.088,59271.0,600419
524,2019-03-04,13.288,13.334,13.597,13.188,77974.0,600419
525,2019-03-05,13.334,13.473,13.519,13.211,53205.0,600419
526,2019-03-06,13.504,13.597,13.604,13.319,69726.0,600419
527,2019-03-07,13.573,13.92,14.052,13.442,94145.0,600419
528,2019-03-08,13.774,13.211,13.774,13.211,71202.0,600419
529,2019-03-11,13.25,14.067,14.391,13.188,99998.0,600419
530,2019-03-12,14.044,14.044,14.368,13.843,73482.0,600419
531,2019-03-13,14.036,13.866,14.237,13.805,50748.0,600419
532,2019-03-14,13.866,13.558,14.044,13.473,47741.0,600419
533,2019-03-15,13.627,13.797,13.92,13.566,35915.0,600419
534,2019-03-18,13.789,14.159,14.306,13.612,67907.0,600419
535,2019-03-19,14.136,14.429,14.699,14.105,77039.0,600419
536,2019-03-20,14.429,15.1,15.208,14.26,117115.0,600419
537,2019-03-21,15.023,14.853,15.2,14.769,79841.0,600419
